title,company,location,posted,url,stem
Senior Finance Officer ,Pharo Foundation ,Hargeisa," May 11, 2023",https://qaranjobs.com/job/senior-finance-officer-hargeisa/,0
Project Engineer ,CTG ,"Beledweyne, Somalia"," May 11, 2023",https://qaranjobs.com/job/project-engineer-beledweyne-2/,1
Finance Manager ,OXFAM ,Hargeisa," May 11, 2023",https://qaranjobs.com/job/finance-manager-hargeisa/,0
Environmental Specialist ,Federal Government of Somalia (FGS) ,"Mogadishu, Somalia"," May 11, 2023",https://qaranjobs.com/job/environmental-specialist-mogadishu-somalia-2/,0
Social Development Specialist ,Federal Government of Somalia (FGS) ,"Mogadishu, Somalia"," May 11, 2023",https://qaranjobs.com/job/social-development-specialist-mogadishu-somalia-2/,0
Procurement Specialist ,Federal Government of Somalia (FGS) ,"Mogadishu, Somalia"," May 11, 2023",https://qaranjobs.com/job/procurement-specialist-mogadishu-somalia-4/,0
Nutrition Specialist ,Mercy Corps ,"Mogadishu, Somalia"," May 11, 2023",https://qaranjobs.com/job/nutrition-specialist-mogadishu/,0
Nutrition Assistant ,Mercy Corps ,"Mogadishu, Somalia"," May 11, 2023",https://qaranjobs.com/job/nutrition-assistant-mogadishu-2/,0
Nutrition Assistant ,Mercy Corps ,Galkacyo," May 11, 2023",https://qaranjobs.com/job/nutrition-assistant-galkacyo/,0
Nutrition Assistant ,Mercy Corps ,"Baidao, Somalia"," May 11, 2023",https://qaranjobs.com/job/nutrition-assistant-baidao/,0
Re-Advert: Financial Services and Private Sector Specialist ,Mercy Corps ,"Mogadishu, Somalia"," May 11, 2023",https://qaranjobs.com/job/re-advert-financial-services-and-private-sector-specialist-mogadishu/,0
Financial Sector Expert ,Federal Government of Somalia (FGS) ,"Mogadishu, Somalia"," May 11, 2023",https://qaranjobs.com/job/financial-sector-expert-central-bank-of-somalia-individual-consultant-mogadishu-somalia/,0
Statistics Expert ,Federal Government of Somalia (FGS) ,"Mogadishu, Somalia"," May 11, 2023",https://qaranjobs.com/job/statistics-expert-central-bank-of-somalia-individual-consultant-mogadishu/,1
National Operations Officer (S/NFI) ,IOM ,"Mogadishu, Somalia"," May 11, 2023",https://qaranjobs.com/job/national-operations-officer-s-nfi-mogadishu-somalia/,0
TSFP Nurse ,Islamic Relief ,"Guradamole and Kersadulla, Somali Regional State"," May 11, 2023",https://qaranjobs.com/job/tsfp-nurse-guradamole-and-kersadulla-somali-regional-state/,0
IYCF Nurse ,Islamic Relief ,"Guradamole and Kersadulla, Somali Regional State"," May 11, 2023",https://qaranjobs.com/job/iycf-nurse-guradamole-and-kersadulla-somali-regional-state/,0
CMAM Nurse ,Islamic Relief ,"Guradamole and Kersadulla, Somali Regional State"," May 11, 2023",https://qaranjobs.com/job/cmam-nurse-guradamole-and-kersadulla-somali-regional-state/,0
WASH Officer ,Islamic Relief ,"Guradamole, Somali Regional State"," May 11, 2023",https://qaranjobs.com/job/wash-officer-guradamole-somali-regional-state/,0
Senior WASH Officer ,Islamic Relief ,"Dekasuftu, Somali Regional State"," May 11, 2023",https://qaranjobs.com/job/senior-wash-officer-dekasuftu-somali-regional-state/,0
Nutrition Officer ,Islamic Relief ,"Guradamole, Somali Regional State of Ethiopia"," May 11, 2023",https://qaranjobs.com/job/nutrition-officer-guradamole-somali-regional-state/,0
Terms Of Reference For Human Resources Specialist ,SOS Children’s Villages International ,"Mogadishu, Somalia"," May 11, 2023",https://qaranjobs.com/job/terms-of-reference-for-human-resources-specialist-consultant-mogadishu/,0
Finance Officer ,"Danyar Relief, Rehabilitation and Development Organization (DRRDO) ","Galkacayo, Somalia"," May 11, 2023",https://qaranjobs.com/job/finance-officer-galkacayo/,0
Re-Advert: Support Serve Manager ,DRC ,"Dolo Ado, Ethiopia"," May 11, 2023",https://qaranjobs.com/job/re-advert-support-serve-manager-dolo-ado-ethiopia/,0
Re-Advert: HR/Admin Manager ,IRC ,"Jigjiga, Somali Region, Ethiopia"," May 11, 2023",https://qaranjobs.com/job/re-advert-hr-admin-manager-jigjiga-somali-region-ethiopia/,0
Education Officer ,IRC ,"Kebrbeyah, Somali Region, Ethiopia"," May 11, 2023",https://qaranjobs.com/job/education-officer-kebrbeyah/,0
Project Coordinator ,Plan International ,"Bay Region, Somalia"," May 11, 2023",https://qaranjobs.com/job/project-coordinator-bay-region-somalia/,0
Logistic Officer ,OXFAM ,Burao," May 11, 2023",https://qaranjobs.com/job/logistic-officer-burao/,0
Pastry Chef ,Mocha Café House ,Hargeisa," May 11, 2023",https://qaranjobs.com/job/pastry-chef-hargeisa/,0
Chef ,Mocha Café House ,Hargeisa," May 11, 2023",https://qaranjobs.com/job/chef-hargeisa/,0
HMIS Assistance ,Lifeline-Gedo International (LLG) ,Gedo," May 8, 2023",https://qaranjobs.com/job/hmis-assistance-gedo/,0
Livelihoods and Food Security Assistant ,NRC ,Jowhar," May 8, 2023",https://qaranjobs.com/job/livelihoods-and-food-security-assistant-jowhar/,0
Livelihoods and Food Security Officer ,NRC ,Jowhar," May 8, 2023",https://qaranjobs.com/job/livelihoods-and-food-security-officer-jowhar/,0
Program Assistant ,Save the Children ,Bosaso," May 6, 2023",https://qaranjobs.com/job/program-assistant-nutrition-bosaso/,0
Shaqo Banaan: Bare (3 Qof),Jaamacadda Ummadda Soomaaliyeed ,"Galmudug, Somalia"," May 5, 2023",https://qaranjobs.com/job/shaqo-banaan-bare-3-qof/,0
Shaqo Banaan: Bare (5 Qof),Jaamacadda Ummadda Soomaaliyeed ,Muqdisho," May 5, 2023",https://qaranjobs.com/job/shaqo-banaan-bare-5-qof/,0
Fursado Shaqo Oo Ka Banaan Shaafi Hospital,Shaafi Hospital ,Somalia," May 5, 2023",https://qaranjobs.com/job/fursado-shaqo-oo-ka-banaan-shaafi-hospital/,0
DRM Officer ,SRCS ,Galkayo," May 4, 2023",https://qaranjobs.com/job/drm-officer-galkayo/,0
DRM Officer ,SRCS ,"Bosaso, Somalia"," May 4, 2023",https://qaranjobs.com/job/drm-officer-bosaso/,0
"Senior Livestock Specialist for the Ministry of Livestock, Forestry and Range ",Federal Government of Somalia (FGS) ,"Mogadishu, Somalia"," May 4, 2023",https://qaranjobs.com/job/senior-livestock-specialist-for-the-ministry-of-livestock-forestry-and-range-mogadishu-somalia/,0
Project Field Officer ,COOPI ,"Beledweyne, Somalia"," May 4, 2023",https://qaranjobs.com/job/project-field-officer-beledweyne-somalia/,0
Complaint and Feedback Mechanism- CFM Assistant ,COOPI ,Beledweyne," May 4, 2023",https://qaranjobs.com/job/complaint-and-feedback-mechanism-cfm-assistant-beledweyne/,0
SCOPE IT Registrar ,COOPI ,Beledweyne," May 4, 2023",https://qaranjobs.com/job/scope-it-registrar-beledweyne/,0
Project Assistant ,World Vision International (WVI) ,Burao," May 4, 2023",https://qaranjobs.com/job/project-assistant-wash-infrastructure-burao/,0
Project Manager (Ultra Poor Graduation): Food Security & Livelihoods ,World Vision International (WVI) ,Baidoa," May 4, 2023",https://qaranjobs.com/job/project-manager-ultra-poor-graduation-food-security-livelihoods-baidoa/,0
Finance Officer ,BURN ,Hargeisa," May 4, 2023",https://qaranjobs.com/job/finance-officer-hargeisa-5/,0
Communication and Information Systems Manager ,CARE ,Hargeisa," May 4, 2023",https://qaranjobs.com/job/communication-and-information-systems-manager-hargeisa/,0
Media Coordinator ,Al Ameen ,"Mogadishu, Somalia"," May 4, 2023",https://qaranjobs.com/job/media-coordinator-mogadishu-somalia/,0
Operation Coordinator ,Al Ameen ,"Mogadishu, Somalia"," May 4, 2023",https://qaranjobs.com/job/operation-coordinator-mogadishu-somalia/,0
Human Recourse Coordinator ,Al Ameen ,"Mogadishu, Somalia"," May 4, 2023",https://qaranjobs.com/job/human-recourse-coordinator-mogadishu-somalia/,0
Project Manager ,Al Ameen ,"Mogadishu, Somalia"," May 4, 2023",https://qaranjobs.com/job/project-manager-mogadishu-somalia-13/,0
Warehouse Officer ,Al Ameen ,"Mogadishu, Somalia"," May 4, 2023",https://qaranjobs.com/job/warehouse-officer-mogadishu-somalia/,0
Accountant ,Al Ameen ,"Mogadishu, Somalia"," May 4, 2023",https://qaranjobs.com/job/accountant-mogadishu-somalia-9/,0
Media Officer ,Al Ameen ,"Mogadishu, Somalia"," May 4, 2023",https://qaranjobs.com/job/media-officer-mogadishu-somalia/,0
Logistics Officer ,Al Ameen ,"Mogadishu, Somalia"," May 3, 2023",https://qaranjobs.com/job/logistics-officer-mogadishu-somalia-10/,0
Information and Archiving Management Officer ,Al Ameen ,"Mogadishu, Somalia"," May 3, 2023",https://qaranjobs.com/job/information-and-archiving-management-officer-mogadishu-somalia/,0
Guard ,Al Ameen ,"Mogadishu, Somalia"," May 3, 2023",https://qaranjobs.com/job/guard-mogadishu-somalia/,0
Cleaner (2 Positions) ,Al Ameen ,"Mogadishu, Somalia"," May 3, 2023",https://qaranjobs.com/job/cleaner-2-positions-mogadishu-somalia/,0
Receptionist Officer ,Al Ameen ,"Mogadishu, Somalia"," May 3, 2023",https://qaranjobs.com/job/receptionist-officer-mogadishu-somalia/,0
Data Entry ,Al Ameen ,"Mogadishu, Somalia"," May 3, 2023",https://qaranjobs.com/job/data-entry-mogadishu-somalia/,0
Monitoring and Evaluation Coordinator ,Al Ameen ,"Mogadishu, Somalia"," May 3, 2023",https://qaranjobs.com/job/monitoring-and-evaluation-coordinator-mogadishu-somalia/,0
Terms Of Reference For The Consultancy Services On Technical Support On Climate Smart Farming Practices,SOS Childrens Villages International ,Somalia," May 3, 2023",https://qaranjobs.com/job/terms-of-reference-for-the-consultancy-services-on-technical-support-on-climate-smart-farming-practices-2/,0
Finance Intern ,IRC ,"Garowe, Somalia"," May 1, 2023",https://qaranjobs.com/job/finance-intern-garowe-somalia-2/,0
Auxiliary Nurse ,IRC ,"Mogadishu, Somalia"," May 1, 2023",https://qaranjobs.com/job/auxiliary-nurse-mogadishu-somalia/,0
Data Clerk ,IRC ,"Mogadishu, Somalia"," May 1, 2023",https://qaranjobs.com/job/data-clerk-mogadishu-somalia/,0
Emergency Response Manager ,NRC ,"Mogadishu, Somalia"," May 1, 2023",https://qaranjobs.com/job/emergency-response-manager-mogadishu/,0
Organizational Policy Development Consultants ,Somaliland Non-State Actors Forum (SONSAF) ,Hargeisa," May 1, 2023",https://qaranjobs.com/job/organizational-policy-development-consultants-lead-and-assistant-consultants-2-positions-hargeisa/,0
"Deliver life-saving WASH assistance to reduce acute needs among most vulnerable settlements and communities (including men, women, boys and girls) in a dignified manner",Golweyne Relief and Rehabilitation NGO - GRRN ,Somalia," April 29, 2023",https://qaranjobs.com/job/deliver-life-saving-wash-assistance-to-reduce-acute-needs-among-most-vulnerable-settlements-and-communities-including-men-women-boys-and-girls-in-a-dignified-manner/,0
Programme Officer (CCCM) ,IOM ,"Mogadishu, Somalia"," April 29, 2023",https://qaranjobs.com/job/programme-officer-cccm-mogadishu-somalia/,0
GARDENER (JARDIINLE) ,ICRC ,"Kismayo, Somalia"," April 29, 2023",https://qaranjobs.com/job/gardener-jardiinle-kismayo/,0
Assistant Finance Officer ,Mercy Corps ,"Galkayo, Somalia"," April 29, 2023",https://qaranjobs.com/job/assistant-finance-officer-galkayo-somalia/,0
Safeguard Officer ,CTG ,"Mogadishu, Somalia"," April 28, 2023",https://qaranjobs.com/job/safeguard-officer-mogadishu-somalia/,0
Communication Technical Assistant ,NRC ,"Kismayo, Somalia"," April 28, 2023",https://qaranjobs.com/job/communication-technical-assistant-kismayo-somalia/,0
"Coordinator, Programme ",International Federation of Red Cross (IFRC) ,Hargeisa," April 28, 2023",https://qaranjobs.com/job/coordinator-programme-hargeisa/,0
"Chief Nutrition, P-5 ",UNICEF ,"Mogadishu, Somalia"," April 28, 2023",https://qaranjobs.com/job/chief-nutrition-p-5-mogadishu-somalia/,0
SRH Coordinator ,Plan International ,Hargeisa," April 28, 2023",https://qaranjobs.com/job/srh-coordinator-hargeisa/,0
ICT Support Assistant ,UNDP ,"Garowe, Somalia"," April 28, 2023",https://qaranjobs.com/job/ict-support-assistant-garowe-somalia/,1
"Base And Facilities Officer, Garowe/Kalabaydh",Médecins Sans Frontières (MSF) ,Garowe/Kalabaydh," April 28, 2023",https://qaranjobs.com/job/base-and-facilities-officer-garowe-kalabaydh/,0
"Child Protection Specialist (Monitoring and Reporting Mechanism (MRM), P3 ",UNICEF ,"Mogadishu, Somalia"," April 28, 2023",https://qaranjobs.com/job/child-protection-specialist-monitoring-and-reporting-mechanism-mrm-p3-mogadishu/,0
Programme Specialist (Prevention of Sexual Exploitation and Abuse P4 ,UNICEF ,"Mogadishu, Somalia"," April 28, 2023",https://qaranjobs.com/job/programme-specialist-prevention-of-sexual-exploitation-and-abuse-p4-mogadishu/,0
"Assistant Security Officer, NOA ",UNSOM ,Mogadishu," April 26, 2023",https://qaranjobs.com/job/assistant-security-officer-noa-mogadishu/,0
Nutrition Specialist ,FAO ,Hargeisa," April 26, 2023",https://qaranjobs.com/job/nutrition-specialist-hargeisa/,0
"Deadline Extended: Security Specialist, FTA, P3 ",UNFPA ,"Mogadishu, Somalia"," April 26, 2023",https://qaranjobs.com/job/deadline-extended-security-specialist-fta-p3-mogadishu-somalia/,0
National Emergency Coordinator (NEC) ,SOS Children’s Villages International ,Mogadishu," April 26, 2023",https://qaranjobs.com/job/national-emergency-coordinator-nec-mogadishu/,0
Prequalified Enumerators (4 Positions) ,Peace Action Society Organization for Somalia (PASOS) ,"Dinsoor, Southwest State of Somalia"," April 26, 2023",https://qaranjobs.com/job/prequalified-enumerators-4-positions-dinsoor-southwest-state-of-somalia/,0
Prequalified Enumerators (2 Positions) ,Peace Action Society Organization for Somalia (PASOS) ,"Barawe, Southwest State of Somalia"," April 26, 2023",https://qaranjobs.com/job/prequalified-enumerators-2-positions-barawe-southwest-state-of-somalia/,0
Prequalified Enumerators (2 Positions) ,Peace Action Society Organization for Somalia (PASOS) ,"Marka, Southwest State of Somalia"," April 26, 2023",https://qaranjobs.com/job/prequalified-enumerators-2-positions-marka-southwest-state-of-somalia/,0
Prequalified Enumerators (2 Positions) ,Peace Action Society Organization for Somalia (PASOS) ,"Qoryoley, Southwest State of Somalia"," April 26, 2023",https://qaranjobs.com/job/prequalified-enumerators-2-positions-qoryoley-district-south-west-state-of-somalia/,0
WASH Project Manager ,Peace Action Society Organization for Somalia (PASOS) ,Somalia," April 26, 2023",https://qaranjobs.com/job/wash-project-manager-somalia/,1
Head Of Mission Support ,Medecins Sans Frontieres (MSF) ,Hargeisa," April 26, 2023",https://qaranjobs.com/job/head-of-mission-support-hargeisa/,0
Wash Engineering ,SRCS ,Garowe," April 24, 2023",https://qaranjobs.com/job/wash-engineering-garowe/,1
Project Manager ,Juba Foundation (JF) ,"Hudun, Sool Region"," April 24, 2023",https://qaranjobs.com/job/project-manager-hudun-sool-region/,0
NFI Project Officer (2 Positions) ,Juba Foundation (JF) ,"Hudun, Sool Region"," April 24, 2023",https://qaranjobs.com/job/nfi-project-officer-2-positions-hudun-sool-region/,0
Data Clerks (6 Positions) ,Juba Foundation (JF) ,"Hudun, Sool Region"," April 24, 2023",https://qaranjobs.com/job/data-clerks-6-positions-hudun-sool-region/,0
Project Assistants (5 Positions) ,Polish Humanitarian Action (PAH) ,Somalia," April 24, 2023",https://qaranjobs.com/job/project-assistants-5-positions-somalia/,0
Project Coordinator ,Polish Humanitarian Action (PAH) ,Somalia," April 24, 2023",https://qaranjobs.com/job/project-coordinator-somalia/,0
Social Mobilizer Supervisors (7 Positions) ,Polish Humanitarian Action (PAH) ,Somalia," April 24, 2023",https://qaranjobs.com/job/social-mobilizer-supervisors-7-positions-somalia/,0
Social Mobilizers (35 Positions) ,Polish Humanitarian Action (PAH) ,Somalia," April 24, 2023",https://qaranjobs.com/job/social-mobilizers-35-positions-somalia/,0
Program Director ,Creative Associates International ,Mogadishu," April 22, 2023",https://qaranjobs.com/job/program-director-mogadishu-2/,0
National Project Coordinator ,FAO ,Mogadishu," April 22, 2023",https://qaranjobs.com/job/national-project-coordinator-scrp-fisheries-sc10-mogadishu/,0
WASH Assistant ,DRC ,"Dadaab, Kenya"," April 22, 2023",https://qaranjobs.com/job/wash-assistant-hygiene-promotion-dadaab-kenya/,0
International Corrections Consultant ,IDLO ,Mogadishu," April 22, 2023",https://qaranjobs.com/job/international-corrections-consultant-mogadishu/,0
Gender and Inclusion Coordinator ,Save the Children ,Hargeisa," April 22, 2023",https://qaranjobs.com/job/gender-and-inclusion-coordinator-hargeisa/,0
Senior M&E Officer ,Lifeline-Gedo International (LLG) ,Dollow," April 22, 2023",https://qaranjobs.com/job/senior-me-officer-dollow/,0
Strategic Humanitarian Assessment for Partnership Empowerment (SHAPE) ,HIRDO ,"Mogadishu, Somalia"," April 20, 2023",https://qaranjobs.com/?post_type=job_listing&p=26168,0
Human Resources Manager ,MEDAIR ,"Mogadishu and Kismayo, Somalia"," April 19, 2023",https://qaranjobs.com/job/human-resources-manager-somalia/,0
"Project Manager, Inclusion Project ",Humanity & Inclusion ,"Mogadishu, Somalia"," April 19, 2023",https://qaranjobs.com/job/project-manager-inclusion-project-mogadishu-somalia-2/,0
ICLA Officer Somalia Afgoye ( National Position) ,NRC ,"Baidoa, Somalia"," April 19, 2023",https://qaranjobs.com/job/icla-officer-somalia-afgoye-national-position-baidoa-somalia/,0
Consultancy ,IDLO ,"Mogadishu, Somalia"," April 19, 2023",https://qaranjobs.com/job/consultancy-programme-advisor-mogadishu-somalia/,0
WASH Assistant ,IRC ,"Galkayo, Somalia"," April 19, 2023",https://qaranjobs.com/job/wash-assistant-galkayo-somalia/,0
BRCiS Country Coordinator ,CESVI - Cooperazione e Sviluppo Onlus ,"Mogadishu, Somalia"," April 19, 2023",https://qaranjobs.com/job/brcis-country-coordinator-mogadishu-somalia/,0
WASH Assistant (Hydrogeologist) ,Islamic Relief ,"Badhan/Burtinle, Somalia"," April 19, 2023",https://qaranjobs.com/job/wash-assistant-hydrogeologist-badhan-burtinle-somalia/,0
Community Health Officer ,Trocaire ,"Gedo, Somalia"," April 18, 2023",https://qaranjobs.com/job/community-health-officer-gedo-somalia/,0
Project Manager (All SIDA and RRM projects countrywide) ,Islamic Relief ,"South West/Mogadishu, Somalia"," April 18, 2023",https://qaranjobs.com/job/project-manager-all-sida-and-rrm-projects-countrywide-south-west-mogadishu-somalia/,0
"Fuel Assistant, G5 ",UNSOS ,"Mogadishu, Somalia"," April 18, 2023",https://qaranjobs.com/job/fuel-assistant-g5-mogadishu-somalia/,0
"Head Nurse, NOB ",UNSOS ,"Garowe, Somalia"," April 18, 2023",https://qaranjobs.com/job/head-nurse-nob-garowe/,0
Programme Assistant ,Save the Children ,Abudwak," April 18, 2023",https://qaranjobs.com/job/programme-assistant-fsl-iycf-counselor-abudwak/,0
Program Director ,Creative Associates International ,"Mogadishu, Somalia"," April 18, 2023",https://qaranjobs.com/job/program-director-mogadishu-somalia/,0
Education Coordinator ,NRC ,"Kismayo, Somalia"," April 18, 2023",https://qaranjobs.com/job/education-coordinator-kismayo-somalia/,0
Education Assistant ,NRC ,"Kismayo, Somalia"," April 18, 2023",https://qaranjobs.com/job/education-assistant-kismayo-somalia/,0
Prequalified Enumerators ,NRC ,"Kismayo, Dollow, Dhobley, BeletHawo and Luuq"," April 17, 2023",https://qaranjobs.com/job/prequalified-enumerators-kismayo-dollow-dhobley-belethawo-and-luuq-somalia/,0
Fursado Shaqo Oo Macalinimo Ah (9 Macalimiin Ah) ,Mogadishu International School ,"Mogadishu, Somalia"," April 17, 2023",https://qaranjobs.com/job/fursado-shaqo-oo-macalinimo-ah-9-macalimiin-ah-mogadishu-somalia/,0
International Consultant ,United Nations Office at Nairobi (UNON) ,"Mogadishu, Somalia"," April 17, 2023",https://qaranjobs.com/job/international-consultant-cost-effectiveness-of-the-triple-nexus-mogadishu-somalia/,0
MEAL Intern ,OXFAM ,"Hargeisa, Somalia"," April 17, 2023",https://qaranjobs.com/job/meal-intern-hargeisa/,0
Terms Of Reference For The Consultancy Services On Technical Support On Climate Smart Farming Practices.,SOS Children’s Villages International ,Somalia," April 17, 2023",https://qaranjobs.com/job/terms-of-reference-for-the-consultancy-services-on-technical-support-on-climate-smart-farming-practices/,0
Supply Chain Intern ,DRC ,"Mogadishu, Somalia"," April 17, 2023",https://qaranjobs.com/job/supply-chain-intern-mogadishu/,0
Warehouse Assistant ,Save the Children ,"Beledweyne, Somalia"," April 17, 2023",https://qaranjobs.com/job/warehouse-assistant-beledweyne-somalia/,0
MEAL Coordinator ,Action Aid International ,Hargeisa," April 17, 2023",https://qaranjobs.com/job/meal-coordinator-hargeisa/,0
Procurement Officer ,Benadir Regional Administration ,Mogadishu Banadir Somalia," April 16, 2023",https://qaranjobs.com/job/procurement-officer-mogadishu-banadir-somalia-2/,0
Project Coordinator ,Benadir Regional Administration ,Mogadishu Banadir Somalia," April 16, 2023",https://qaranjobs.com/job/project-coordinator-mogadishu-banadir-somalia/,0
Social Safeguards Officer ,Benadir Regional Administration ,Mogadishu Banadir Somalia," April 16, 2023",https://qaranjobs.com/job/social-safeguards-officer-mogadishu-banadir-somalia-2/,0
Finance Officer ,Benadir Regional Administration ,Mogadishu Banadir Somalia," April 16, 2023",https://qaranjobs.com/job/finance-officer-mogadishu-banadir-somalia-2/,0
COUNTRY DIRECTOR ,CARE ,"Mogadishu, Somalia"," April 16, 2023",https://qaranjobs.com/job/country-director-mogadishu-somalia-4/,0
Retail Logistics Consultant ,CTG ,Kismayo," April 16, 2023",https://qaranjobs.com/job/retail-logistics-consultant-kismayo/,0
Retail Logistics Consultant ,CTG ,Baidoa," April 16, 2023",https://qaranjobs.com/job/retail-logistics-consultant-baidoa/,0
Retail Logistics Consultant ,CTG ,Galkacyo," April 16, 2023",https://qaranjobs.com/job/retail-logistics-consultant-galkacyo/,0
Retail Logistics Consultant (2 Positions) ,CTG ,"Beledweyne, Somalia"," April 16, 2023",https://qaranjobs.com/job/retail-logistics-consultant-2-positions-beledweyne-somalia/,0
Software Developer ,FAO ,Mogadishu," April 16, 2023",https://qaranjobs.com/job/software-developer-android-and-net-mogadishu/,1
Civil Engineer ,FAO ,Mogadishu," April 16, 2023",https://qaranjobs.com/job/civil-engineer-fisheries-infrastructure-mogadishu/,1
"Senior Humanitarian Affairs Officer (Deputy Head of Office), P5 ",UNOCHA ,"Mogadishu, Somalia"," April 16, 2023",https://qaranjobs.com/job/senior-humanitarian-affairs-officer-deputy-head-of-office-p5-mogadishu-2/,0
"Request for Expressions of Interest for Development of a Basin Diagnostic and a Strategic Action Plan for the Juba Basin, Somalia and preparation of prioritized actions project.",Federal Government of Somalia (FGS) ,Somalia," April 16, 2023",https://qaranjobs.com/job/request-for-expressions-of-interest-for-development-of-a-basin-diagnostic-and-a-strategic-action-plan-for-the-juba-basin-somalia-and-preparation-of-prioritized-actions-project/,0
Organization-wide risk and Compliance Expert ,Federal Government of Somalia (FGS) ,Somalia," April 16, 2023",https://qaranjobs.com/job/organization-wide-risk-and-compliance-expert-central-bank-of-somalia-individual-consultant/,0
Procurement of Consultancy Services for Audit FY 2022 for World Bank projects for FY 2022 for the Oﬃce of the Auditor General of Somalia (OAGS) and the Oﬃce of the Auditor General of Puntland State (OAG-Puntland),Federal Government of Somalia (FGS) ,Somalia," April 16, 2023",https://qaranjobs.com/job/procurement-of-consultancy-services-for-audit-fy-2022-for-world-bank-projects-for-fy-2022-for-the-o%ef%ac%83ce-of-the-auditor-general-of-somalia-oags-and-the-o%ef%ac%83ce-of-the-auditor-general-of-p/,0
Sanitation and Hygiene Promotion Assistant ,IRC ,"Jijiga, Ethiopia"," April 16, 2023",https://qaranjobs.com/job/sanitation-and-hygiene-promotion-assistant-somali-regional-state-of-ethiopia/,0
